Quantity,Name,Set Name,Collector Number,Foil/Variant,Condition,Language
3,Arc Lightning,Khans of Tarkir,97,Normal,NM,EN
3,Arcane Flight,Dominaria,43,Normal,NM,EN
1,Arcane Lighthouse,Commander 2014,59,Normal,NM,EN
1,Arcane Lighthouse,Commander Anthology Volume II,233,Normal,NM,EN
1,Arcane Sanctum,Shards of Alara,220,Normal,NM,JP
1,Arcane Signet,30th Anniversary Misc Promos,1,Foil,NM,EN
2,Arcane Signet,Secret Lair Drop,589,Foil,NM,EN
1,Arcane Signet,Commander 2020,237,Normal,NM,EN
1,Arcane Signet,Commander Legends,297,Normal,NM,EN
1,Arcbound Javelineer,Modern Horizons 2,2,Normal,NM,EN
1,Arcbound Ravager,Kaladesh Inventions,31,Foil,NM,EN
1,Arcbound Ravager,Secret Lair Drop,56,Foil,NM,EN
2,Arcbound Ravager,Darksteel,100,Normal,NM,EN
2,Arcbound Ravager,Darksteel,100,Normal,MP,EN
1,Arch of Orazca,Time Spiral Remastered,404,Normal,NM,EN
1,Arch of Orazca,Rivals of Ixalan,185,Foil,NM,EN
1,"Archelos, Lagoon Mystic",Commander Legends,268,Normal,NM,EN
4,Archmage's Charm,Modern Horizons 1 Timeshifts,7,Normal,NM,EN
4,Archon of Cruelty,Modern Horizons 2,75,Normal,NM,EN
1,Archon of Cruelty,Modern Horizons 2,75,Foil,NM,EN
4,Archon of Cruelty,Modern Horizons 2,342,Normal,NM,EN
1,Arcum Dagsson,Coldsnap,27,Normal,NM,EN
4,Arcum's Astrolabe,Modern Horizons,220,Normal,NM,EN
1,"Ardenn, Intrepid Archaeologist",Commander Legends,10,Normal,NM,EN
1,Argentum Armor,Commander 2014,228,Normal,NM,EN
2,Argivian Cavalier,Dominaria United,4,Normal,NM,EN
1,Argothian Opportunist,The Brothers' War,167,Normal,NM,EN
4,Aria of Flame,Modern Horizons,118,Normal,NM,EN
4,Arid Mesa,Zendikar,211,Normal,NM,EN
1,Armageddon,Portal,167,Normal,NM,EN
3,Armillary Sphere,Commander Legends,298,Normal,NM,EN
1,Armistice,Mercadian Masques,3,Normal,NM,EN
1,"Armix, Filigree Thrasher",Commander Legends,108,Normal,NM,EN
3,Armory of Iroas,Commander Legends,299,Normal,NM,EN
1,Armory of Iroas,Commander Legends,299,Foil,NM,EN
1,Arrogant Poet,Strixhaven: School of Mages,63,Normal,NM,EN
1,Artful Maneuver,Dragons of Tarkir,4,Foil,NM,EN
4,Artificer's Assistant,Dominaria,44,Normal,NM,EN
1,Artificer's Dragon,The Brothers' War,291,Normal,NM,EN
1,Artisan of Kozilek,Modern Masters 2015,2,Normal,NM,EN
1,Arvad the Cursed,Dominaria,191,Normal,NM,EN
1,"Aryel, Knight of Windgrace",Dominaria,192,Normal,NM,EN
5,Ashen Rider,Theros,187,Normal,NM,EN
1,Ashen Rider,Theros,187,Foil,NM,EN
2,"Ashiok, Dream Render",War of the Spark,228,Normal,NM,EN
1,Ashnod's Altar,The Brothers' War Retro Artifacts,67,Normal,NM,EN
1,Ashnod's Altar,Antiquities,3,Normal,NM,EN
1,Ashnod's Altar,Classic Sixth Edition,274,Normal,NM,EN
1,Ashnod's Harvester,The Brothers' War,117,Normal,NM,EN
4,Assassin's Trophy,Guilds of Ravnica,152,Normal,NM,EN
2,Assault Suit,Commander 2014,53,Normal,NM,EN
1,Assembly-Worker,Masters 25,221,Normal,NM,EN
1,"Astor, Bearer of Blades",Dominaria United,293,Normal,NM,EN
4,Astral Cornucopia,The Brothers' War Retro Artifacts,68,Normal,NM,EN
1,Astral Cornucopia,Born of the Gods,157,Foil,NM,EN
1,"Atraxa, Praetors' Voice",Commander 2016,28,Foil,NM,JP
1,"Atraxa, Praetors' Voice",Secret Lair Drop,453,Foil,NM,EN
1,Attended Healer,Zendikar Rising,6,Normal,NM,EN
1,Attended Socialite,Streets of New Capenna,133,Normal,NM,EN
1,Auramancer,Masters 25,6,Normal,NM,EN
1,Auriok Salvagers,Fifth Dawn,4,Foil,NM,EN
1,Austere Command,Commander Legends,12,Normal,NM,EN
1,Austere Command,Lorwyn,3,Normal,NM,EN
1,Aven Mindcensor,Future Sight,18,Normal,NM,EN
3,Aven Sentry,Dominaria,3,Normal,NM,EN
1,Aven Sentry,Dominaria,3,Foil,NM,EN
3,Aven Surveyor,Commander Legends,57,Normal,NM,EN
1,"Averna, the Chaos Bloom",Commander Legends,269,Normal,NM,EN
1,Azor's Elocutors,Return to Ravnica,210,Normal,NM,EN
3,Azorius Charm,Return to Ravnica,145,Normal,NM,EN
1,Azorius Signet,Secret Lair Drop,286,Foil,NM,EN
1,Azorius Signet,Dissension,159,Foil,NM,EN
3,Azure Fleet Admiral,Commander Legends,58,Normal,NM,EN
1,Badlands,Revised Edition,282,Normal,NM,EN
4,Bala Ged Recovery // Bala Ged Sanctuary,Zendikar Rising,180,Normal,NM,EN
1,Balduvian Berserker,Dominaria United,116,Normal,NM,EN
7,Baloth Gorger,Dominaria,156,Normal,NM,EN
1,Banishing Light,Time Spiral Remastered,291,Normal,NM,EN
4,Banishing Light,Journey into Nyx,5,Normal,NM,EN
1,Bannerhide Krushok,Modern Horizons 2,149,Normal,NM,EN
