Quantity,Name,Set Name,Collector Number,Foil/Variant,Condition,Language
5,Cloudreader Sphinx,Dominaria,47,Normal,NM,EN
1,Coal Stoker,Time Spiral Remastered,159,Normal,NM,EN
2,Coalition Warbrute,Dominaria United,118,Normal,NM,EN
1,Coastline Marauders,Commander Legends,168,Normal,NM,EN
1,Codex Shredder,Commander Legends,304,Normal,NM,EN
1,Cold-Eyed Selkie,Modern Masters,186,Normal,NM,EN
4,Cold-Water Snapper,Dominaria,48,Normal,NM,EN
4,Collective Brutality,Eldritch Moon,85,Normal,NM,EN
1,Collective Unconscious,Commander 2014,187,Normal,NM,EN
2,Collector Ouphe,Modern Horizons,158,Normal,NM,EN
1,Colossal Dreadmaw,Core Set 2019,172,Normal,NM,EN
1,Colossal Growth,Dominaria United,158,Foil,NM,EN
3,Combat Courier,The Brothers' War,77,Normal,NM,EN
1,Combat Professor,Strixhaven: School of Mages,11,Normal,NM,EN
1,Combat Research,Dominaria United,44,Foil,NM,EN
1,Comet Storm,Modern Masters 2015,111,Normal,NM,EN
1,Comeuppance,Commander 2014,4,Normal,NM,EN
1,Command Beacon,Commander Legends,349,Normal,NM,EN
1,Command the Dreadhorde,War of the Spark,82,Normal,NM,EN
1,Command Tower,Commander,269,Normal,NM,EN
3,Command Tower,Commander Legends,350,Normal,NM,EN
1,Commander's Sphere,Commander 2014,54,Normal,NM,EN
1,Commander's Sphere,Commander Anthology Volume II,182,Normal,NM,EN
1,Commander's Sphere,Commander Legends,306,Normal,NM,EN
1,Commune with Nature,Modern Masters 2015,142,Normal,NM,EN
4,Compelling Argument,Amonkhet,47,Normal,NM,EN
4,Concealed Courtyard,Kaladesh,245,Normal,NM,EN
1,Conclave Phalanx,Modern Masters 2015,12,Normal,NM,EN
1,Conclave Tribunal,Guilds of Ravnica,6,Foil,NM,EN
1,Condemn,Commander 2014,69,Normal,NM,EN
1,Conduit of Ruin,Battle for Zendikar,4,Normal,NM,EN
1,Confiscate,Commander Legends,62,Normal,NM,EN
4,Consider,Innistrad: Midnight Hunt,388,Normal,NM,EN
1,Consulate Skygate,Kaladesh,202,Normal,NM,EN
1,Consulate Surveillance,Kaladesh,10,Normal,NM,EN
1,Contagion Clasp,Time Spiral Remastered,391,Normal,NM,EN
1,Contagion Clasp,Scars of Mirrodin,144,Foil,NM,EN
1,Contagion Engine,Scars of Mirrodin,145,Foil,NM,EN
1,Containment Priest,Commander 2014,5,Normal,NM,EN
1,Copper Carapace,Modern Masters 2015,205,Normal,NM,EN
1,Copper-Leaf Angel,Prophecy,137,Normal,NM,EN
1,Copperline Gorge,Phyrexia: All Will Be One,249,Normal,NM,JP
2,Coralhelm Guide,Masters 25,49,Normal,NM,EN
1,Coralhelm Guide,Masters 25,49,Foil,NM,EN
1,Corpse Churn,Commander Legends,113,Normal,NM,EN
1,Corpse Churn,Commander Legends,113,Foil,NM,EN
1,Corpulent Corpse,Time Spiral Remastered,104,Normal,NM,EN
2,Corrosive Ooze,Dominaria,158,Normal,NM,EN
1,Counterflux,Return to Ravnica,153,Normal,NM,EN
2,Counterlash,Dark Ascension,33,Normal,NM,EN
1,Counterspell,Modern Horizons 2,267,Normal,NM,EN
4,Counterspell,Tempest,57,Normal,NM,EN
3,Counterspell,Classic Sixth Edition,61,Normal,NM,EN
1,Counterspell,Mercadian Masques,69,Foil,NM,EN
4,Counterspell,Mercadian Masques,69,Normal,NM,EN
4,Countersquall,Conflux,103,Normal,NM,EN
1,Court Hussar,Masters 25,51,Normal,NM,EN
1,Court of Grace,Commander Legends,16,Normal,NM,EN
1,Court of Ire,Commander Legends,170,Normal,NM,EN
1,Court Street Denizen,Commander Legends,17,Normal,NM,EN
1,Cradle Clearcutter,The Brothers' War,198,Normal,NM,EN
4,Cragganwick Cremator,Shadowmoor,87,Normal,LP,EN
1,Cranial Plating,Time Spiral Remastered,392,Foil,NM,EN
4,Cranial Plating,Fifth Dawn,113,Normal,NM,EN
1,Cranial Plating,Fifth Dawn,113,Foil,NM,DE
1,Crash Through,Core Set 2019,133,Normal,NM,EN
1,Crawlspace,Urza's Legacy,123,Foil,NM,EN
1,Creeperhulk,Commander 2014,42,Normal,NM,EN
1,Creeping Tar Pit,Worldwake,134,Normal,NM,EN
3,Crimson Fleet Commodore,Commander Legends,171,Normal,NM,EN
1,Crookclaw Transmuter,Time Spiral Remastered,59,Normal,NM,EN
1,Crow of Dark Tidings,Commander Legends,115,Normal,NM,EN
1,Crucible of Worlds,Fifth Dawn,114,Foil,NM,EN
1,Cruel Finality,Aether Revolt,54,Normal,NM,EN
1,Cruel Grimnarch,Phyrexia: All Will Be One,88,Normal,NM,JP
4,Crumble to Dust,Battle for Zendikar,128,Normal,NM,EN
1,Crushing Canopy,Jumpstart,386,Normal,NM,EN
3,Crushing Vines,Commander Legends,221,Normal,NM,EN
7,Cryptic Command,Iconic Masters,48,Normal,NM,EN
1,Cryptic Cruiser,Battle for Zendikar,56,Normal,NM,EN
1,Cryptic Gateway,Onslaught,306,Normal,NM,EN
1,Cryptothrall,"Warhammer 40,000 Commander",155,Normal,NM,EN
1,Crystal Ball,Magic 2011,203,Normal,NM,EN
1,Culling Dais,Modern Masters 2015,207,Normal,NM,EN
1,Cultist's Staff,Eldritch Moon,194,Normal,NM,EN
1,Cuombajj Witches,Commander Legends,116,Normal,NM,EN
2,Curator's Ward,Dominaria,49,Normal,NM,EN
1,Curio Vendor,Kaladesh,42,Normal,NM,EN
1,Curious Homunculus // Voracious Reader,Eldritch Moon,54,Normal,NM,EN
1,Cutthroat il-Dal,Time Spiral Remastered,105,Normal,NM,EN
1,Cyclonic Rift,Double Masters,339,Foil,NM,EN
4,D'Avenant Trapper,Dominaria,11,Normal,NM,EN
1,Daggerback Basilisk,Core Set 2019,174,Normal,NM,EN
2,"Dakkon, Shadow Slayer",Modern Horizons 2,192,Normal,NM,EN
1,Dakmor Salvage,Modern Masters,222,Foil,NM,EN
4,Damn,Modern Horizons 2,80,Normal,NM,EN
1,Damnation,Time Spiral Remastered,106,Normal,NM,EN
1,Damnation,Planar Chaos,85,Normal,NM,EN
5,Damping Sphere,Dominaria,213,Normal,NM,EN
3,"Danitha Capashen, Paragon",Dominaria,12,Normal,NM,EN
1,"Daretti, Scrap Savant",Commander Anthology Volume II,4,Foil,NM,EN
1,"Dargo, the Shipwrecker",Commander Legends,172,Normal,NM,EN
1,Darigaaz Reincarnated,Dominaria,193,Normal,NM,EN
1,Daring Archaeologist,Dominaria,13,Normal,NM,EN
1,Daring Saboteur,Commander Legends,64,Normal,NM,EN
1,Daring Sleuth // Bearer of Overwhelming Truths,Shadows over Innistrad,54,Normal,NM,EN
4,Dark Bargain,Ikoria: Lair of Behemoths,82,Normal,NM,EN
4,Dark Confidant,Ravnica: City of Guilds,81,Normal,NM,EN
1,Dark Depths,Dominaria Remastered,394,Normal,NM,EN
4,Dark Petition,Magic Origins,90,Normal,NM,EN
1,Dark Ritual,Duel Decks: Phyrexia vs. the Coalition,18,Normal,NM,EN
1,Dark Ritual,Revised Edition,7,Normal,NM,EN
4,Dark Ritual,Urza's Saga,127,Normal,NM,EN
5,Dark Ritual,Mercadian Masques,129,Normal,NM,EN
1,Dark-Dweller Oracle,Core Set 2019,134,Normal,NM,EN
1,Darkheart Sliver,Time Spiral Remastered,249,Normal,NM,EN
2,Darksteel Citadel,Modern Masters 2015,238,Normal,NM,EN
1,Darksteel Citadel,Modern Masters 2015,238,Foil,NM,EN
4,Darksteel Citadel,Darksteel,164,Normal,NM,EN
1,Darksteel Colossus,Secret Lair Drop,57,Foil,NM,EN
1,Darksteel Colossus,Darksteel,109,Normal,NM,EN
1,Darksteel Forge,Darksteel,110,Foil,NM,EN
4,Daru Spiritualist,Scourge,5,Normal,NM,EN
1,Daru Spiritualist,Scourge,5,Foil,NM,EN
1,Dauntless Bodyguard,Dominaria,14,Normal,NM,EN
2,Dauntless Cathar,Masters 25,10,Normal,NM,EN
4,Dauthi Voidwalker,Modern Horizons 2,81,Normal,NM,EN
4,"Davriel, Rogue Shadowmage",War of the Spark,83,Normal,NM,EN
1,"Davriel, Rogue Shadowmage",War of the Spark,83,Foil,NM,EN
4,"Davriel, Rogue Shadowmage",War of the Spark,83,Normal,NM,JP
1,"Davriel, Rogue Shadowmage",War of the Spark,83,Foil,NM,JP
1,Dawn Gryff,Eldritch Moon,19,Normal,NM,EN
1,Daxos of Meletis,Theros,191,Normal,NM,EN
1,Day of Judgment,Magic 2012,12,Normal,NM,EN
1,Daybreak Charger,Core Set 2021,14,Normal,NM,EN
4,Daybreak Coronet,Future Sight,21,Normal,NM,EN
4,Daze,Nemesis,30,Normal,NM,EN
4,Dead Weight,Innistrad,96,Normal,NM,EN
1,Dead Weight,Shadows over Innistrad,106,Normal,NM,EN
1,Dead Weight,Ikoria: Lair of Behemoths,83,Normal,NM,EN
2,Deadly Alliance,Zendikar Rising,96,Normal,NM,EN
1,Deadly Alliance,Zendikar Rising,96,Foil,NM,EN
4,Deafening Silence,Throne of Eldraine,10,Normal,NM,EN
1,Death Pulse,Onslaught,137,Normal,NM,EN
1,Death Wish,Judgment,64,Normal,NM,EN
4,Death's Shadow,Worldwake,57,Normal,NM,EN
5,Deathbloom Thallid,Dominaria,84,Normal,NM,EN
1,Deathspore Thallid,Time Spiral Remastered,109,Normal,NM,EN
1,Debt to the Deathless,Dragon's Maze,64,Foil,NM,EN
1,Decree of Justice,Commander 2014,70,Normal,NM,EN
4,Deep Freeze,Dominaria,50,Normal,NM,EN
2,Deepcavern Imp,Time Spiral Remastered,110,Normal,NM,EN
1,Deepglow Skate,Commander 2016,7,Normal,NM,EN
1,Deeproot Wayfinder,March of the Machine,184,Normal,NM,EN
1,Defense Grid,Urza's Legacy,125,Normal,NM,EN
3,Defiant Salvager,Commander Legends,117,Normal,NM,EN
1,Defile,Modern Horizons,86,Normal,NM,EN
1,Deflecting Swat,Commander 2020,50,Normal,NM,EN
1,Delay,Future Sight,35,Normal,NM,EN
2,Deliberate,Zendikar Rising,56,Normal,NM,EN
1,"Delina, Wild Mage",Adventures in the Forgotten Realms,138,Normal,NM,EN
1,Demanding Dragon,Core Set 2019,135,Normal,NM,EN
1,Demon's Disciple,Zendikar Rising,97,Normal,NM,EN
1,Demonic Consultation,Ice Age,9,Normal,NM,EN
1,Demonic Lore,Commander Legends,118,Normal,NM,EN
1,Demonic Tutor,Duel Decks: Divine vs. Demonic,49,Normal,NM,EN
1,Demonic Tutor,Revised Edition,13,Normal,NM,EN
4,Demonic Vigor,Dominaria,85,Normal,NM,EN
1,Deploy the Gatewatch,Eldritch Moon,20,Normal,NM,EN
1,Deploy to the Front,Commander 2014,6,Normal,NM,EN
2,Depopulate,Streets of New Capenna,406,Normal,NM,EN
4,Deprive,Rise of the Eldrazi,59,Normal,NM,EN
1,Deranged Assistant,Commander Legends,65,Normal,NM,EN
1,Descend upon the Sinful,Shadows over Innistrad,13,Normal,NM,EN
1,Desert Twister,Commander 2014,188,Normal,NM,EN
4,Desperate Ritual,Duel Decks: Mind vs. Might,14,Normal,NM,EN
4,Desperate Ritual,Champions of Kamigawa,163,Normal,NM,EN
4,Despise,New Phyrexia,56,Normal,NM,EN
1,Detention Sphere,Return to Ravnica,155,Normal,NM,EN
3,Dhund Operative,Commander Legends,119,Normal,NM,EN
1,Diabolic Edict,Masters 25,85,Normal,NM,EN
1,Diabolic Edict,Modern Horizons,87,Normal,NM,EN
1,Diabolic Revelation,Magic 2013,87,Normal,NM,EN
1,Diabolic Revelation,Magic 2013,87,Foil,NM,EN
1,Diabolic Tutor,Magic 2011,93,Normal,NM,EN
1,Diabolic Tutor,Kaladesh,75,Foil,NM,EN
1,Didgeridoo,Homelands,130,Normal,NM,EN
1,Dig Through Time,Khans of Tarkir,36,Normal,NM,EN
1,Dimir Signet,Secret Lair Drop,287,Foil,NM,EN
1,Dimir Signet,Ravnica: City of Guilds,260,Normal,NM,EN
1,Dimir Signet,Ravnica: City of Guilds,260,Foil,NM,EN
1,"Dina, Soul Steeper",Strixhaven: School of Mages,178,Normal,NM,EN
1,Diplomatic Immunity,Mercadian Masques,75,Normal,NM,EN
1,Dire Wolf Prowler,Adventures in the Forgotten Realms,325,Foil,NM,EN
4,Diregraf Ghoul,Magic Game Day Cards,12,Normal,NM,EN
1,Disciple of the Vault,Mirrodin,62,Foil,NM,EN
4,Discovery // Dispersal,Guilds of Ravnica,223,Normal,NM,EN
5,Disdainful Stroke,Khans of Tarkir,37,Normal,NM,EN
4,Disenchant,Mirage,214,Normal,NM,EN
1,Disentomb,Magic 2012,93,Normal,NM,EN
1,Dismal Backwater,Fate Reforged,168,Normal,NM,EN
1,Dismember,Modern Masters 2015,79,Normal,NM,EN
4,Dismember,Time Spiral Remastered,322,Normal,NM,EN
3,Dismember,New Phyrexia,57,Normal,NM,EN
1,Dismember,New Phyrexia,57,Normal,NM,CS
1,Dispatch,New Phyrexia,7,Normal,NM,EN
1,Dispatch,New Phyrexia,7,Foil,NM,EN
1,Dispatch,New Phyrexia,7,Normal,NM,JP
2,Dispeller's Capsule,Commander Legends,18,Normal,NM,EN
1,Dispeller's Capsule,Shards of Alara,8,Foil,NM,EN
1,Dissipate,Innistrad,53,Foil,NM,EN
4,Distortion Strike,Rise of the Eldrazi,60,Normal,NM,EN
5,Divest,Dominaria,87,Normal,NM,EN
1,Divide by Zero,Strixhaven: School of Mages,41,Normal,NM,EN
3,Divination,Dominaria,52,Normal,NM,EN
1,Divine Sacrament,Odyssey,19,Normal,NM,EN
1,Dockside Extortionist,Commander 2019,24,Normal,NM,EN
1,Doom Blade,Magic 2011,95,Normal,NM,EN
1,Doomed Dissenter,Core Set 2019,93,Normal,NM,EN
3,Doomed Traveler,Commander Legends,19,Normal,NM,EN
1,Doomsday,Masters 25,88,Foil,NM,EN
1,Door to Nothingness,The List,251,Normal,NM,EN
1,Dormant Volcano,Commander Anthology Volume II,246,Normal,NM,EN
1,Doublecast,Core Set 2019,137,Normal,NM,EN
1,Dovin Baan,Kaladesh,179,Foil,NM,EN
1,Draconic Roar,Jumpstart,308,Normal,NM,EN
1,"Drafna, Founder of Lat-Nam",The Brothers' War,47,Normal,NM,EN
2,Dragon Egg,Commander Legends,173,Normal,NM,EN
1,Dragon Fodder,Jumpstart,309,Normal,NM,EN
1,Dragon Hatchling,Jumpstart,310,Normal,NM,EN
3,Dragon Mantle,Commander Legends,174,Normal,NM,EN
2,Dragon Whelp,Dominaria United,120,Normal,NM,EN
1,Dragon's Approach,Strixhaven: School of Mages,97,Normal,NM,EN
4,Dragon's Rage Channeler,Modern Horizons 2,121,Normal,NM,EN
1,Dragonlord's Servant,Jumpstart,311,Normal,NM,EN
1,Dragonsoul Knight,Modern Masters 2015,112,Normal,NM,EN
1,Draining Whelk,Time Spiral Remastered,62,Normal,NM,EN
1,Dramatic Reversal,Kaladesh,44,Normal,NM,EN
1,Drana's Silencer,Zendikar Rising,99,Foil,NM,EN
2,Dread of Night,Tempest,24,Normal,NM,EN
1,Dread Return,Time Spiral Remastered,111,Normal,NM,EN
1,Dread Shade,Dominaria,88,Normal,NM,EN
2,Dreadbore,Return to Ravnica,157,Normal,NM,EN
4,Dreadhorde Arcanist,War of the Spark,125,Normal,NM,EN
1,Dreadwurm,Zendikar Rising,100,Normal,NM,EN
1,Dream Stalker,Time Spiral,58,Normal,NM,EN
4,Dream's Grip,Mirrodin,34,Normal,NM,EN
2,Dreamscape Artist,Time Spiral Remastered,64,Normal,NM,EN
1,Dreamstone Hedron,Commander Anthology Volume II,186,Normal,NM,EN
2,Dreamstone Hedron,Commander Legends,307,Normal,NM,EN
1,Dredging Claw,The Brothers' War,119,Normal,NM,EN
4,Dress Down,Modern Horizons 2,39,Normal,NM,EN
1,Drifter il-Dal,Time Spiral Remastered,65,Normal,NM,EN
1,Drifting Meadow,Commander 2014,292,Normal,NM,EN
1,Dross Skullbomb,Phyrexia: All Will Be One,225,Normal,NM,JP
1,Drove of Elves,Commander 2014,189,Normal,NM,EN
1,Drown in Ichor,Phyrexia: All Will Be One,91,Normal,NM,JP
4,Drown in the Loch,Throne of Eldraine,188,Normal,NM,EN
1,Drown in the Loch,Throne of Eldraine,188,Foil,NM,EN
2,Drowned Catacomb,Magic 2010,224,Normal,NM,EN
1,Drowned Catacomb,Magic 2011,224,Normal,NM,EN
4,Drudge Sentinel,Dominaria,89,Normal,NM,EN
1,Dryad Arbor,Time Spiral Remastered,277,Normal,NM,EN
1,Dryad Arbor,Future Sight,174,Normal,NM,EN
1,Dualcaster Mage,Commander Anthology Volume II,94,Normal,NM,EN
3,Dub,Dominaria,15,Normal,NM,EN
1,Dukhara Peafowl,Kaladesh,207,Normal,NM,EN
1,Dukhara Scavenger,Kaladesh,77,Normal,NM,EN
4,Duress,Urza's Saga,132,Normal,NM,EN
1,Duress,Magic 2011,96,Normal,NM,EN
3,Duress,Magic 2013,90,Normal,NM,EN
1,Duress,Phyrexia: All Will Be One,92,Normal,NM,JP
1,Durkwood Baloth,Time Spiral Remastered,200,Normal,NM,EN
1,Duskhunter Bat,Modern Masters 2015,81,Normal,NM,EN
4,Duskwatch Recruiter // Krallenhorde Howler,Shadows over Innistrad,203,Normal,NM,EN
4,Dwarven Mine,Throne of Eldraine,243,Normal,NM,EN
1,Dwarven Priest,Core Set 2019,11,Normal,NM,EN
1,Dwynen's Elite,Jumpstart,389,Normal,NM,EN
1,Eager Construct,Kaladesh,209,Normal,NM,EN
1,Eager First-Year,Strixhaven: School of Mages,16,Normal,NM,EN
1,Earth-Cult Elemental,Adventures in the Forgotten Realms,141,Normal,NM,EN
1,Eccentric Apprentice,Adventures in the Forgotten Realms,57,Normal,NM,EN
3,Echoing Truth,Darksteel,21,Normal,NM,EN
1,Edge of Autumn,Time Spiral Remastered,201,Normal,NM,EN
1,Efficient Construction,Aether Revolt,33,Foil,NM,EN
1,Eladamri's Call,Planeshift,106,Normal,NM,EN
1,Eldrazi Displacer,Oath of the Gatewatch,13,Foil,NM,EN
1,Eldrazi Mimic,Oath of the Gatewatch,2,Normal,NM,EN
1,Eldrazi Skyspawner,Battle for Zendikar,58,Normal,NM,JP
1,Electrolyze,Guildpact,111,Foil,NM,EN
2,Electrostatic Infantry,Dominaria United,122,Normal,NM,EN
1,Elemental Summoning,Strixhaven: School of Mages,183,Normal,NM,EN
2,"Elesh Norn, Grand Cenobite",New Phyrexia,9,Normal,NM,EN
5,Elfhame Druid,Dominaria,159,Normal,NM,EN
1,"Eligeth, Crossroads Augur",Commander Legends,66,Normal,NM,EN
1,Eliminate,Core Set 2021,395,Normal,NM,EN
3,Elite Spellbinder,Strixhaven: School of Mages,17,Normal,NM,EN
1,Elite Spellbinder,Strixhaven: School of Mages,17,Foil,NM,EN
2,Elsewhere Flask,Shadowmoor,250,Normal,NM,EN
1,"Elspeth, Knight-Errant",Guilds of Ravnica Mythic Edition,1,Foil,NM,EN
3,"Elspeth, Sun's Champion",Theros,9,Normal,NM,EN
1,Elvish Aberration,Masters 25,167,Normal,NM,EN
1,Elvish Archdruid,Commander 2014,190,Normal,NM,EN
3,Elvish Doomsayer,Commander Legends,120,Normal,NM,EN
1,Elvish Dreadlord,Commander Legends,121,Normal,NM,EN
1,Elvish Mystic,Commander 2014,191,Normal,NM,EN
1,Elvish Piper,Masters 25,168,Normal,NM,EN
1,Elvish Skysweeper,Commander 2014,192,Normal,NM,EN
1,Elvish Visionary,Commander 2014,193,Normal,NM,EN
2,Elvish Visionary,Commander Legends,223,Normal,NM,EN
1,Elvish Visionary,Magic 2013,169,Normal,NM,EN
1,Embercleave,Throne of Eldraine,120,Normal,NM,EN
1,Emergent Sequence,Strixhaven: School of Mages,129,Normal,NM,EN
1,Emergent Ultimatum,Ikoria: Lair of Behemoths,333,Normal,NM,EN
2,Emergent Ultimatum,Ikoria: Lair of Behemoths,333,Foil,NM,EN
1,"Emeria, the Sky Ruin",Commander 2014,293,Normal,NM,EN
1,"Emeria, the Sky Ruin",Zendikar,213,Normal,NM,EN
4,Empty the Warrens,Time Spiral,152,Normal,NM,EN
1,"Emrakul, the Aeons Torn",Rise of the Eldrazi,4,Normal,NM,EN
1,Encroaching Mycosynth,Phyrexia: All Will Be One,47,Normal,NM,JP
2,End Hostilities,Khans of Tarkir,8,Normal,NM,EN
1,Energy Field,Urza's Saga,73,Normal,NM,EN
4,Engineered Explosives,Ultimate Masters,227,Normal,NM,EN
1,Enigma Sphinx,Planechase 2012,89,Normal,NM,EN
1,Enlightened Tutor,Mirage,218,Normal,NM,EN
1,Ensoul Artifact,Magic 2015,54,Foil,NM,EN
1,Enthralling Victor,Masters 25,129,Foil,NM,EN
1,Enthusiastic Study,Strixhaven: School of Mages,99,Normal,NM,EN
5,Entomb,Odyssey,132,Normal,NM,EN
1,Entourage of Trest,Commander Legends,224,Normal,NM,EN
1,Environmental Sciences,Strixhaven: School of Mages,1,Normal,NM,EN
4,Ephemerate,Strixhaven Mystical Archive,5,Normal,NM,EN
1,Epochrasite,Commander Anthology Volume II,187,Normal,NM,EN
1,Era of Innovation,Kaladesh,45,Normal,NM,EN
1,Errant Doomsayers,Time Spiral Remastered,17,Normal,NM,EN
1,Errant Ephemeron,Time Spiral Remastered,66,Normal,NM,EN
1,Escape Velocity,Theros Beyond Death,132,Normal,NM,EN
1,Escaped Experiment,Phyrexia: All Will Be One,48,Normal,NM,JP
1,"Esior, Wardwing Familiar",Commander Legends,67,Normal,NM,EN
8,Esper Charm,Shards of Alara,167,Normal,NM,EN
5,Esper Sentinel,Modern Horizons 2,12,Normal,NM,EN
1,Essence Warden,Planar Chaos,145,Normal,NM,EN
1,Etched Champion,Scars of Mirrodin,154,Normal,NM,EN
1,Etched Oracle,Modern Masters 2015,211,Foil,NM,EN
1,Etchings of the Chosen,Modern Horizons,198,Normal,NM,EN
4,Ethereal Armor,Return to Ravnica,9,Normal,NM,EN
1,Ethereal Guidance,Shadows over Innistrad,18,Normal,NM,EN
1,Etherium Sculptor,Modern Masters,44,Normal,NM,EN
1,Etherium Spinner,Modern Horizons 2,40,Normal,NM,EN
1,Ethersworn Adjudicator,Conflux,26,Normal,NM,JP
1,Ethersworn Canonist,Shards of Alara,10,Normal,NM,EN
1,Everflowing Chalice,Commander Anthology Volume II,188,Normal,NM,EN
1,Everflowing Chalice,Worldwake,123,Normal,NM,EN
2,Everlasting Torment,Shadowmoor,186,Normal,NM,EN
5,Eviscerate,Dominaria,91,Normal,NM,EN
2,Evolution Charm,Time Spiral Remastered,202,Normal,NM,EN
4,Excavation Elephant,Dominaria,17,Normal,NM,EN
1,Exclude,Modern Horizons,48,Normal,NM,EN
1,Exclude,Jumpstart,152,Normal,NM,EN
1,Executioner's Capsule,Shards of Alara,75,Foil,NM,EN
1,Exhilarating Elocution,Strixhaven: School of Mages,185,Normal,NM,EN
2,Exhume,Premium Deck Series: Graveborn,17,Foil,NM,EN
4,Exhume,Urza's Saga,134,Normal,NM,EN
1,Exotic Curse,Invasion,105,Foil,NM,EN
1,Exotic Orchard,Planechase 2012,117,Normal,NM,EN
1,Expanded Anatomy,Strixhaven: School of Mages,2,Normal,NM,EN
2,Expansion // Explosion,Guilds of Ravnica,224,Normal,NM,EN
2,Expedition Map,Zendikar,201,Normal,NM,EN
3,Experiment One,Gatecrash,119,Normal,NM,EN
1,Experimental Augury,Phyrexia: All Will Be One,49,Normal,NM,JP
4,Explore,Worldwake,99,Normal,NM,EN
1,Explosion of Riches,Commander Legends,176,Normal,NM,EN
1,Explosive Apparatus,Core Set 2019,233,Normal,NM,EN
4,Expressive Iteration,Strixhaven: School of Mages,186,Normal,NM,EN
3,Exquisite Huntmaster,Commander Legends,122,Normal,NM,EN
1,Exsanguinate,Scars of Mirrodin,61,Foil,NM,EN
1,Eye of Ugin,Worldwake,136,Foil,NM,EN
1,Eyeblight Assassin,Commander Legends,123,Normal,NM,EN
3,Eyeblight Cullers,Commander Legends,124,Normal,NM,EN
3,Eyeblight Massacre,Commander Legends,125,Normal,NM,EN
1,Eyeblight's Ending,Eternal Masters,88,Foil,NM,EN
1,Eyes of Gitaxias,March of the Machine,57,Normal,NM,EN
1,Eyetwitch,Strixhaven: School of Mages,70,Normal,NM,EN
1,"Ezuri, Renegade Leader",Commander 2014,195,Normal,NM,EN
4,Fable of the Mirror-Breaker // Reflection of Kiki-Jiki,Kamigawa: Neon Dynasty,357,Normal,NM,EN
1,Fabricate,Mirrodin,35,Normal,NM,EN
1,Fabricate,Mirrodin,35,Foil,NM,EN
1,Facet Reader,Ikoria: Lair of Behemoths,50,Normal,NM,EN
4,Fae of Wishes // Granted,Throne of Eldraine,282,Normal,NM,EN
2,Faerie Mechanist,Modern Masters 2015,44,Normal,NM,EN
1,Failed Inspection,Kaladesh,47,Normal,NM,EN
1,Faith's Fetters,Commander Legends,20,Normal,NM,EN
1,Faith's Fetters,Core Set 2021,17,Normal,NM,EN
1,Faith's Reward,Magic 2013,14,Normal,NM,JP
2,Faith's Reward,Magic 2013,14,Foil,NM,EN
4,Faithful Mending,Innistrad: Midnight Hunt,221,Normal,NM,EN
1,Faithless Looting,Commander Anthology Volume II,96,Normal,NM,EN
11,Faithless Looting,Dark Ascension,87,Normal,NM,EN
1,Fall from Favor,Commander Legends,68,Normal,NM,EN
1,Fall of the Thran,Dominaria,18,Normal,NM,EN
1,Fallaji Chaindancer,The Brothers' War,134,Normal,NM,EN
1,Fallaji Dragon Engine,The Brothers' War,159,Normal,NM,EN
1,Fallen Angel,Masters 25,91,Foil,NM,EN
1,"Falthis, Shadowcat Familiar",Commander Legends,126,Normal,NM,EN
2,Far // Away,Dragon's Maze,127,Normal,NM,EN
2,Farhaven Elf,Commander Legends,225,Normal,NM,EN
1,Farhaven Elf,Commander Legends,225,Foil,NM,EN
1,Farseek,Magic 2013,170,Normal,NM,EN
1,Fatal Push,Double Masters,343,Normal,NM,EN
4,Fatal Push,Aether Revolt,57,Normal,NM,EN
1,Fathom Fleet Swordjack,Commander Legends,177,Normal,NM,EN
1,Fearless Fledgling,Zendikar Rising,291,Normal,NM,EN
2,Feast of Succession,Commander Legends,127,Normal,NM,EN
1,Feebleness,Time Spiral Remastered,116,Normal,NM,EN
1,Feldon of the Third Path,Commander Anthology Volume II,6,Foil,NM,EN
1,Felidar Cub,Battle for Zendikar,25,Normal,NM,EN
1,Fell the Mighty,Commander 2014,7,Normal,NM,EN
1,Fellwar Stone,The Dark,99,Normal,NM,EN
1,Fencing Ace,Commander Legends,21,Normal,NM,EN
5,Feral Abomination,Core Set 2020,101,Normal,NM,EN
1,Feral Krushok,Fate Reforged,128,Normal,NM,EN
1,Fertilid,Jumpstart,398,Normal,NM,EN
1,Fertilid,Commander Legends,226,Normal,NM,EN
1,Fertilid,Ikoria: Lair of Behemoths,152,Normal,NM,EN
5,Fervent Strike,Dominaria,117,Normal,NM,EN
3,Fetid Heath,Eventide,176,Normal,NM,EN
1,Field Creeper,Core Set 2019,234,Normal,NM,EN
3,Field of Ruin,Ixalan,254,Normal,NM,EN
2,Field of Ruin,Theros Beyond Death,242,Normal,NM,EN
1,Field of the Dead,Core Set 2020,247,Foil,NM,EN
1,Fiend Hunter,Innistrad,15,Normal,NM,EN
3,Fiery Cannonade,Commander Legends,178,Normal,NM,EN
1,Fiery Finish,Core Set 2019,140,Normal,NM,EN
6,Fiery Intervention,Dominaria,118,Normal,NM,EN
4,Fiery Islet,Modern Horizons,238,Normal,NM,EN
2,Fight with Fire,Dominaria,119,Normal,NM,EN
1,Filigree Angel,Alara Reborn,6,Normal,NM,EN
2,Filigree Familiar,Commander Legends,308,Normal,NM,EN
3,Fin-Clade Fugitives,Commander Legends,227,Normal,NM,EN
1,Final Judgment,Betrayers of Kamigawa,4,Normal,NM,EN
